Razao Social;Fundo;Segmento;Codigo
CANUMA CAPITAL MULTIESTRAT�GIA FDO DE INV IMOB;FII CANUMA;;CCME;
INTER TEVA INDICE DE TIJOLO FUNDO DE INVESTIMENTO;FII INTER IT;;ITIT;
JASC RENDA VAREJO ESSENCIAL FDO DE INV IMOB - FII;FII JASC REN;;JASC;
LAVOURA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII LAVOURA;;LAVF;
AF INVEST CRI FDO. INV. IMOB - RECEB�VEIS IMOB.;FII AFHI CRI;;AFHI;
ALIANZA CR�DITO IMOBILI�RIO FII FUNDO DE INV IMOB;FII ALI CRED;;ALZC;
ALIANZA MULTIOFFICES  - FDO. INV. IMOB;FII MULT OF1;;MTOF;
ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB;FII ALIANZA;;ALZR;
ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOB;FII ALI URB;;AURB;
ASA METROPOLIS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII ASA MET;;ASMT;
AUTONOMY EDIF�CIOS CORPORATIVOS FUND. INV. IMOB.;FII AUTONOMY;;AIEC;
BANESTES RECEB�VEIS IMOBILI�RIOS FDO INV IMOB  FII;FII BEES CRI;;BCRI;
BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII;FII BANRISUL;;BNFS;
BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILI�RIO;FII BARZEL;;BZEL;
BAS�LICA PARTNERS LED CORPORATE FDO INV IMOB FII;FII BASILICA;;BPLC;
BB FDO INV IMOB PROGRESSIVO;FII BB PROGR;MB;BBFI;
BB FUNDO DE FUNDOS - FDO. INV. IMOB.;FII BB FOF;;BBFO;
BB PROGRESSIVO II FDO INV IMOB - FII;FII BB PRGII;;BBPO;
BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII;FII BB RECIM;;BBIM;
BB RENDA CORPORATIVA FDO INV IMOB - FII;FII BB CORP;;BBRC;
BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII;FII BB PAPII;;RDPD;
BB RENDA DE PAP�IS IMOBILI�RIOS FDO INV IMOB - FII;FII BB R PAP;;RNDP;
BLUECAP RENDA LOG. FDO INV. IMOB. - FII;FII BLUECAP;;BLCP;
BLUEMACAW CATUA� TRIPLE A FDO DE INV IMOB;FII BLUE AAA;;BLCA;
BLUEMACAW CR�DITO IMOBILI�RIO - FDO. INV. IMOB.;FII BLUE CRI;;BLMC;
BLUEMACAW LOG�STICA FDO. INVEST. IMOB.;FII BLUE LOG;;BLMG;
BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.;FII BLUEMAC;;BLMO;
BLUEMACAW RENDA + FOF FDO. INVEST. IMOB.;FII BLUE FOF;;BLMR;
BRADESCO CARTEIRA IMOBILI�RIA ATIVA - FII;FII BCIA;;BCIA;
BRAZIL REAL ESTATE VICTORY FUND I - FDO. INV. IMOB;FII BRE VIC;;BREV;
BRAZIL REALTY FDO INV IMOB;FII BRREALTY;;BZLI;
BRAZILIAN GRAVEYARD DEATH CARE FDO INV IMOB - FII;FII DEA CARE;;CARE;
BRESCO LOG�STICA - FDO INV IMOB;FII BRESCO;;BRCO;
BRIO CR�DITO ESTRUTURADO - FDO. INVEST. IMOB.;FII BRIO CRE;;BICE;
BRIO MULTIESTRAT�GIA FDO INV IMOB;FII BRIO ME;;BIME;
BRIO REAL ESTATE II - FDO INV IMOB;FII BRIO II;;BRIM;
BRIO REAL ESTATE III FDO DE INVEST. IMOB.;FII BRIO III;;BRIP;
BRIO REAL ESTATE IV - FUNDO DE INVESTIMENTO IMOB;FII BRIO IV;;BIPD;
BRIX FUNDO DE INVESTIMENTO IMOBILI�RIO;FII BRIX;;BRIX;
BS2 ALLINVESTMENTS FDO DE INV IMOB;FII BS2;;LLAO;
BTG PACTUAL LOGISTICA FDO INV IMOB - FII;FII BTLG;;BTLG;
BTOWERS FII - FUNDO DE INVESTIMENTO IMOBILI�RIO;FII BTOWERS;;BTWR;
BTSP I FDO. INVEST. IMOB - FII;FII BTSP I;;BTSG;
BTSP II FUNDO DE INVESTIMENTO IMOBILI�RIO;FII BTSP II;;BTSI;
CAIXA RIO BRAVO FDO DE FDOS INV IMOB II;FII CX RBRA2;;CRFF;
CAIXA RIO BRAVO FUNDO DE FDO INV IMOB - FII;FII CX RBRAV;;CXRI;
CAPIT�NIA REIT FOF - FDO. INVEST. IMOB;FII CAP REIT;;CPFF;
CAPITANIA SECURITIES II FDO INV IMOB - FII;FII CAPI SEC;;CPTS;
CARTESIA RECEB�VEIS IMOBILI�RIOS - FUNDO DE INVEST;CARTESIA FII;;CACR;
CASTELLO BRANCO OFFICE PARK FDO INV IMOB - FII;FII C BRANCO;;CBOP;
CF2 FUNDO DE INVESTIMENTO IMOBILI�RIO;FII CF2;;CFHI;
CF3 FUNDO DE INVESTIMENTO IMOBILI�RIO - FII;FII CF3 IMOB;;CFII;
CIDADE JARDIM CONTINENAL TOWER FDO INV IMOB;FII CJCTOWER;;CJCT;
CONSTANTINOPLA RECEB�VEIS IMOBILI�RIOS FII;FII FED HY;;CTNP;
CSHG IMOB. FOF - FDO INV. IMOB. - FII;FII CSHG FOF;;HGFF;
CSHG LOG�STICA FDO INV IMOB - FII;FII CSHG LOG;;HGLG;
CSHG PRIME OFFICES FDO INV IMOB - FII;FII CSHGPRIM;;HGPO;
CSHG REAL ESTATE FDO INV IMOB - FII;FII HG REAL;;HGRE;
CSHG RECEB�VEIS IMOBILI�RIOS FDO INV IMOB - FII;FII CSHG CRI;;HGCR;
CSHG RENDA URBANA - FDO INV IMOB - FII;FII CSHG URB;;HGRU;
CSHG RESIDENCIAL FDO DE INV IMOB - FII;FII CSHG RSD;;HGRS;
CVPAR FUNDO DE INVESTIMENTO IMOBILI�RIO DE CRI;FII CVPAR;;CVPR;
CYRELA CR�DITO - FUNDO DE INVESTIMENTO IMOBILI�RIO;FII CYRELA;;CYCR;
CYRELA DESENVOLVIMENTO LOG�STICO FDO INV IMOB;FII CYLD;;CYLD;
DEL MONTE AJAX FDO INV IMOB - FII;FII DEL MONT;;DLMT;
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOB;FII DEVA PRO;;DPRO;
DEVANT RECEB�VEIS IMOBILI�RIOS FDO. INVEST. IMOB.;FII DEVANT;;DEVA;
DIAMANTE FDO INV IMOB;FII DIAMANTE;MB;DAMT;
DOVEL FDO INV IMOB;FII DOVEL;MB;DOVL;
ENERGY RESORT FDO. INVEST. IMOB.;FII ENERGY;;EGYR;
EQI RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOBILI�RIO;FII EQI RECE;;EQIR;
ESTOQUE RESIDENCIAL E COMERCIAL RJ FDO INV IMOB;FII ESTOQ RJ;;ERCR;
EUROPA 105 - FDO INV IMOB;FII EUROPA;;ERPA;
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII EVEN II;;KEVE;
EVEN PERMUTA KINEA FII - FDO INV IMOB;FII EV KINEA;;KINP;
EXES FUNDO DE INVESTIMENTO IMOBILI�RIO;FII EXES;;EXES;
FARIA LIMA CAPITAL RECEB. IMOB. I - FDO INV. IMOB.;FII FL RECEB;;FLCR;
FATOR RENDA GALP�O FDO INV IMOB;FII FATOR GP;;FAGL;
FATOR VERITA FDO INV IMOB - FII;FII FATOR VE;;VRTA;
FDO BRAS�LIO MACHADO DE INVESTIMENTO IMOBILI�RIO;FII BRASILIO;;BMII;
